Interval=	0.001 s
ExcelDateTime=	4.5034649974269007e+004	18/04/2023 15:35:57.776842
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	ECG	Finapres derivative	Finapres NIBP	SBP	DBP	MAP	Heart rate
Range=	5.000 mV	1508.32 mmHg/s	10.000 V	100.0000 mmHg	100.0000 mmHg	100.0170 mmHg	110 BPM
UnitName=	*	*	mmHg	*	*	*	*
TopValue=	*	*	1000.00	*	*	*	*
BottomValue=	*	*	-1000.00	*	*	*	*
263.042	-0.2306206	-159.6587	90.03125	NaN	NaN	NaN	NaN
263.043	-0.2295225	-155.9662	89.90625	NaN	NaN	NaN	NaN
263.044	-0.2279807	-142.0456	89.75	NaN	NaN	NaN	NaN
263.045	-0.2259629	-124.7157	89.625	NaN	NaN	NaN	NaN
263.046	-0.2234686	-114.7732	89.40625	NaN	NaN	NaN	NaN
263.047	-0.2205156	-99.14749	89.53125	NaN	NaN	NaN	NaN
263.048	-0.2171311	-88.92113	89.3125	NaN	NaN	NaN	NaN
263.049	-0.2134461	-83.23854	89.1875	NaN	NaN	NaN	NaN
263.05	-0.2095477	-83.52297	89.21875	NaN	NaN	NaN	NaN
263.051	-0.205543	-82.38655	89.03125	NaN	NaN	NaN	NaN
263.052	-0.2015437	-91.47716	89.0625	NaN	NaN	NaN	NaN
263.053	-0.1976476	-88.35233	89	NaN	NaN	NaN	NaN
263.054	-0.1940548	-84.37472	88.84375	NaN	NaN	NaN	NaN
263.055	-0.1908564	-88.35286	88.6875	NaN	NaN	NaN	NaN
263.056	-0.1881419	-82.67045	88.65625	NaN	NaN	NaN	NaN
263.057	-0.1859724	-86.07936	88.5	NaN	NaN	NaN	NaN
263.058	-0.1843445	-82.67009	88.4375	NaN	NaN	NaN	NaN
263.059	-0.1833807	-69.60219	88.5	NaN	NaN	NaN	NaN
263.06	-0.1830261	-61.93167	88.3125	NaN	NaN	NaN	NaN
263.061	-0.1832253	-54.54498	88.3125	NaN	NaN	NaN	NaN
263.062	-0.1838793	-38.06818	88.15625	NaN	NaN	NaN	NaN
263.063	-0.184798	-25.00045	88.09375	NaN	NaN	NaN	NaN
263.064	-0.1859549	-20.45477	88.1875	NaN	NaN	NaN	NaN
263.065	-0.1871357	0.2840161	88.09375	NaN	NaN	NaN	NaN
263.066	-0.1881581	2.272665	88.125	NaN	NaN	NaN	NaN
263.067	-0.1888256	5.96571	88.25	NaN	NaN	NaN	NaN
263.068	-0.1888891	8.52269	88.28125	NaN	NaN	NaN	NaN
263.069	-0.188289	1.136184	88.125	NaN	NaN	NaN	NaN
263.07	-0.1868439	-1.420498	88.34375	NaN	NaN	NaN	NaN
263.071	-0.1844452	-14.20486	88.125	NaN	NaN	NaN	NaN
263.072	-0.1810245	-23.01186	88.125	NaN	NaN	NaN	NaN
263.073	-0.1765363	-28.40853	88.25	NaN	NaN	NaN	NaN
263.074	-0.1711144	-26.42054	88.125	NaN	NaN	NaN	NaN
263.075	-0.1648337	-38.9201	88.125	NaN	NaN	NaN	NaN
263.076	-0.1578389	-38.06782	88	NaN	NaN	NaN	NaN
263.077	-0.1503256	-42.61339	88.03125	NaN	NaN	NaN	NaN
263.078	-0.1425257	-50.00001	87.9375	NaN	NaN	NaN	NaN
263.079	-0.1347939	-49.43186	88	NaN	NaN	NaN	NaN
263.08	-0.1273823	-62.78402	87.8125	NaN	NaN	NaN	NaN
263.081	-0.1205525	-70.4546	87.78125	NaN	NaN	NaN	NaN
263.082	-0.1145548	-78.97729	87.8125	NaN	NaN	NaN	NaN
263.083	-0.1095955	-82.10218	87.6875	NaN	NaN	NaN	NaN
263.084	-0.1059528	-94.31822	87.625	NaN	NaN	NaN	NaN
263.085	-0.1036858	-95.73865	87.34375	NaN	NaN	NaN	NaN
263.086	-0.1028209	-103.4092	87.3125	NaN	NaN	NaN	NaN
263.087	-0.1033172	-109.3751	87.28125	NaN	NaN	NaN	NaN
263.088	-0.1050138	-102.2726	87.21875	NaN	NaN	NaN	NaN
263.089	-0.1078688	-106.2498	86.96875	NaN	NaN	NaN	NaN
263.09	-0.1115753	-103.4092	86.9375	NaN	NaN	NaN	NaN
263.091	-0.1158416	-113.0682	86.8125	NaN	NaN	NaN	NaN
263.092	-0.1203392	-119.6023	86.6875	NaN	NaN	NaN	NaN
263.093	-0.1246432	-120.7386	86.71875	NaN	NaN	NaN	NaN
263.094	-0.1285797	-113.3521	86.40625	NaN	NaN	NaN	NaN
263.095	-0.13178	-119.6023	86.375	NaN	NaN	NaN	NaN
263.096	-0.1339742	-120.4543	86.1875	NaN	NaN	NaN	NaN
263.097	-0.1349244	-117.6137	86.0625	NaN	NaN	NaN	NaN
263.098	-0.134371	-123.2955	85.96875	NaN	NaN	NaN	NaN
263.099	-0.1323837	-111.9322	85.96875	NaN	NaN	NaN	NaN
263.1	-0.1289145	-115.3411	85.71875	NaN	NaN	NaN	NaN
263.101	-0.1240173	-113.3524	85.625	NaN	NaN	NaN	NaN
263.102	-0.1177845	-109.6593	85.59375	NaN	NaN	NaN	NaN
263.103	-0.1103053	-103.9772	85.3125	NaN	NaN	NaN	NaN
